"Year","Region","iso_code3","cost_enfu_fuel_nuclear_usd_per_tonne"
2015,"louisiana","LA",51901689.780676
2016,"louisiana","LA",51901689.780676
2017,"louisiana","LA",51901689.780676
2018,"louisiana","LA",51901689.780676
2019,"louisiana","LA",51901689.780676
2020,"louisiana","LA",51901689.780676
2021,"louisiana","LA",51977864.2826
2022,"louisiana","LA",52053963.1395371
2023,"louisiana","LA",52206160.8534112
