,iso_code3,Region,Year,occrate_trns_passenger_per_vehicle_water_borne
0,LA,louisiana,2024,15
1,LA,louisiana,2025,15
2,LA,louisiana,2026,15
3,LA,louisiana,2027,15
4,LA,louisiana,2028,15
5,LA,louisiana,2029,15
6,LA,louisiana,2030,15
7,LA,louisiana,2031,15
8,LA,louisiana,2032,15
9,LA,louisiana,2033,15
10,LA,louisiana,2034,15
11,LA,louisiana,2035,15
12,LA,louisiana,2036,15
13,LA,louisiana,2037,15
14,LA,louisiana,2038,15
15,LA,louisiana,2039,15
16,LA,louisiana,2040,15
17,LA,louisiana,2041,15
18,LA,louisiana,2042,15
19,LA,louisiana,2043,15
20,LA,louisiana,2044,15
21,LA,louisiana,2045,15
22,LA,louisiana,2046,15
23,LA,louisiana,2047,15
24,LA,louisiana,2048,15
25,LA,louisiana,2049,15
26,LA,louisiana,2050,15
