,iso_code3,Region,Year,consumpinit_inen_energy_total_pj_agriculture_and_livestock
0,LA,louisiana,2021,82.5143531379
1,LA,louisiana,2022,82.5143531379
2,LA,louisiana,2023,82.5143531379
3,LA,louisiana,2024,82.5143531379
4,LA,louisiana,2025,82.5143531379
5,LA,louisiana,2026,82.5143531379
6,LA,louisiana,2027,82.5143531379
7,LA,louisiana,2028,82.5143531379
8,LA,louisiana,2029,82.5143531379
9,LA,louisiana,2030,82.5143531379
10,LA,louisiana,2031,82.5143531379
11,LA,louisiana,2032,82.5143531379
12,LA,louisiana,2033,82.5143531379
13,LA,louisiana,2034,82.5143531379
14,LA,louisiana,2035,82.5143531379
15,LA,louisiana,2036,82.5143531379
16,LA,louisiana,2037,82.5143531379
17,LA,louisiana,2038,82.5143531379
18,LA,louisiana,2039,82.5143531379
19,LA,louisiana,2040,82.5143531379
20,LA,louisiana,2041,82.5143531379
21,LA,louisiana,2042,82.5143531379
22,LA,louisiana,2043,82.5143531379
23,LA,louisiana,2044,82.5143531379
24,LA,louisiana,2045,82.5143531379
25,LA,louisiana,2046,82.5143531379
26,LA,louisiana,2047,82.5143531379
27,LA,louisiana,2048,82.5143531379
28,LA,louisiana,2049,82.5143531379
29,LA,louisiana,2050,82.5143531379
