Year,prodinit_ippu_mining_tonne,Iso_code3,Region
2015,217951.1,LA,louisiana
2016,196526.053,LA,louisiana
2017,181984.104,LA,louisiana
2018,135959.772,LA,louisiana
2019,141143.855,LA,louisiana
2020,135258.378,LA,louisiana
2021,122450.795,LA,louisiana
