,Year,frac_trns_pkm_dem_private_and_public_road_light,iso_code3,Region
0,2011,0.9117787032917223,LA,louisiana
1,2012,0.9068409680107203,LA,louisiana
2,2013,0.9056437716050628,LA,louisiana
3,2014,0.9015401701748766,LA,louisiana
4,2015,0.9033248080939706,LA,louisiana
5,2016,0.9042992626927251,LA,louisiana
6,2017,0.9002626603001296,LA,louisiana
7,2018,0.8956782093241794,LA,louisiana
8,2019,0.898078138882166,LA,louisiana
9,2020,0.8971827746006772,LA,louisiana
10,2021,0.8939532746531902,LA,louisiana
