"Year","Region","iso_code3","frac_lvst_mm_goats_solid_storage"
2021,"louisiana","LA",0.5
2022,"louisiana","LA",0.5
2023,"louisiana","LA",0.5
2024,"louisiana","LA",0.5
2025,"louisiana","LA",0.5
2026,"louisiana","LA",0.5
2027,"louisiana","LA",0.5
2028,"louisiana","LA",0.5
2029,"louisiana","LA",0.5
2030,"louisiana","LA",0.5
2031,"louisiana","LA",0.5
2032,"louisiana","LA",0.5
2033,"louisiana","LA",0.5
2034,"louisiana","LA",0.5
2035,"louisiana","LA",0.5
2036,"louisiana","LA",0.5
2037,"louisiana","LA",0.5
2038,"louisiana","LA",0.5
2039,"louisiana","LA",0.5
2040,"louisiana","LA",0.5
2041,"louisiana","LA",0.5
2042,"louisiana","LA",0.5
2043,"louisiana","LA",0.5
2044,"louisiana","LA",0.5
2045,"louisiana","LA",0.5
2046,"louisiana","LA",0.5
2047,"louisiana","LA",0.5
2048,"louisiana","LA",0.5
2049,"louisiana","LA",0.5
2050,"louisiana","LA",0.5
