iso_code3,Region,Year,frac_inen_energy_mining_natural_gas
LA,louisiana,2000,0.7053421080121174
LA,louisiana,2001,0.6971497091237272
LA,louisiana,2002,0.7083878288134564
LA,louisiana,2003,0.71189114068668
LA,louisiana,2004,0.7047812632728596
LA,louisiana,2005,0.6987447892972863
LA,louisiana,2006,0.7190086325936089
LA,louisiana,2007,0.7323057874175437
LA,louisiana,2008,0.7306067423448798
LA,louisiana,2009,0.7440648346367251
LA,louisiana,2010,0.6939299563636994
LA,louisiana,2011,0.6904097505534305
LA,louisiana,2012,0.7023151758958991
LA,louisiana,2013,0.7157593464909665
LA,louisiana,2014,0.729086591519709
LA,louisiana,2015,0.7206523411456998
LA,louisiana,2016,0.7510644101566668
LA,louisiana,2017,0.7334129958119191
LA,louisiana,2018,0.770232093760282
LA,louisiana,2019,0.7877103842489679
LA,louisiana,2020,0.7981612167967038
