iso_code3,Region,Year,frac_inen_energy_rubber_and_leather_electricity
LA,louisiana,2021,0.5536280976443722
LA,louisiana,2022,0.547160038047233
LA,louisiana,2023,0.5428126962006717
LA,louisiana,2024,0.5369753978423542
LA,louisiana,2025,0.5318944669065916
LA,louisiana,2026,0.5262004948082055
LA,louisiana,2027,0.5202444493791568
LA,louisiana,2028,0.5136527343488523
LA,louisiana,2029,0.506658706485578
LA,louisiana,2030,0.4992855059129156
LA,louisiana,2031,0.4916626998251988
LA,louisiana,2032,0.4837854075737002
LA,louisiana,2033,0.4756385470320623
LA,louisiana,2034,0.467164165440711
LA,louisiana,2035,0.4583198971888573
LA,louisiana,2036,0.4490729667319997
LA,louisiana,2037,0.4394081150296354
LA,louisiana,2038,0.4293134347516401
LA,louisiana,2039,0.4187738712357943
LA,louisiana,2040,0.4077644524827688
LA,louisiana,2041,0.3964452255179818
LA,louisiana,2042,0.3894664593618696
LA,louisiana,2043,0.3823081208395918
LA,louisiana,2044,0.3749626831431053
LA,louisiana,2045,0.367421270972096
LA,louisiana,2046,0.3596746882988898
LA,louisiana,2047,0.351713929465245
LA,louisiana,2048,0.3435301625007493
LA,louisiana,2049,0.3351144247243142
LA,louisiana,2050,0.3264572704640885
