,Year,iso_code3,Region,deminit_trde_freight_mt_km
0,2023,LA,louisiana,141.863381
1,2024,LA,louisiana,141.863381
2,2025,LA,louisiana,141.863381
3,2026,LA,louisiana,141.863381
4,2027,LA,louisiana,141.863381
5,2028,LA,louisiana,141.863381
6,2029,LA,louisiana,141.863381
7,2030,LA,louisiana,141.863381
8,2031,LA,louisiana,141.863381
9,2032,LA,louisiana,141.863381
10,2033,LA,louisiana,141.863381
11,2034,LA,louisiana,141.863381
12,2035,LA,louisiana,141.863381
13,2036,LA,louisiana,141.863381
14,2037,LA,louisiana,141.863381
15,2038,LA,louisiana,141.863381
16,2039,LA,louisiana,141.863381
17,2040,LA,louisiana,141.863381
18,2041,LA,louisiana,141.863381
19,2042,LA,louisiana,141.863381
20,2043,LA,louisiana,141.863381
21,2044,LA,louisiana,141.863381
22,2045,LA,louisiana,141.863381
23,2046,LA,louisiana,141.863381
24,2047,LA,louisiana,141.863381
25,2048,LA,louisiana,141.863381
26,2049,LA,louisiana,141.863381
27,2050,LA,louisiana,141.863381
