"Year","Region","iso_code3","exports_agrc_vegetables_and_vines_tonne"
2024,"louisiana","LA",470.037777777776
2025,"louisiana","LA",500.458444444441
2026,"louisiana","LA",530.879111111106
2027,"louisiana","LA",561.299777777771
2028,"louisiana","LA",591.720444444443
2029,"louisiana","LA",622.141111111108
2030,"louisiana","LA",652.561777777773
2031,"louisiana","LA",682.982444444438
2032,"louisiana","LA",713.403111111103
2033,"louisiana","LA",743.823777777776
2034,"louisiana","LA",774.244444444441
2035,"louisiana","LA",804.665111111106
2036,"louisiana","LA",835.085777777771
2037,"louisiana","LA",865.506444444443
2038,"louisiana","LA",895.927111111108
2039,"louisiana","LA",926.347777777773
2040,"louisiana","LA",956.768444444439
2041,"louisiana","LA",987.189111111104
2042,"louisiana","LA",1017.60977777778
2043,"louisiana","LA",1048.03044444444
2044,"louisiana","LA",1078.45111111111
2045,"louisiana","LA",1108.87177777777
2046,"louisiana","LA",1139.29244444444
2047,"louisiana","LA",1169.71311111111
2048,"louisiana","LA",1200.13377777777
2049,"louisiana","LA",1230.55444444444
2050,"louisiana","LA",1260.9751111111
