iso_code3,Region,Year,frac_inen_energy_recycled_paper_solid_biomass
LA,louisiana,2000,0.5246580591911332
LA,louisiana,2001,0.5243255052721552
LA,louisiana,2002,0.5271006741889767
LA,louisiana,2003,0.5348105305145592
LA,louisiana,2004,0.5456064791356794
LA,louisiana,2005,0.5536015387882043
LA,louisiana,2006,0.5556697916054688
LA,louisiana,2007,0.5579163510750546
LA,louisiana,2008,0.5557102478450794
LA,louisiana,2009,0.5606333945107199
LA,louisiana,2010,0.5605252746857524
LA,louisiana,2011,0.5749059526443904
LA,louisiana,2012,0.5715631476480563
LA,louisiana,2013,0.5768215082682882
LA,louisiana,2014,0.532702291349582
LA,louisiana,2015,0.5400745751237914
LA,louisiana,2016,0.5176430243121777
LA,louisiana,2017,0.5539787185501939
LA,louisiana,2018,0.5731355018554146
LA,louisiana,2019,0.5568783647743687
LA,louisiana,2020,0.5339516886220731
