,iso_code3,Region,Year,efficfactor_scoe_heat_energy_other_se_electricity
0,LA,louisiana,2010,3
1,LA,louisiana,2011,3
2,LA,louisiana,2012,3
3,LA,louisiana,2013,3
4,LA,louisiana,2014,3
5,LA,louisiana,2015,3
6,LA,louisiana,2016,3
7,LA,louisiana,2017,3
8,LA,louisiana,2018,3
9,LA,louisiana,2019,3
10,LA,louisiana,2020,3
11,LA,louisiana,2021,3
12,LA,louisiana,2022,3
13,LA,louisiana,2023,3
