,iso_code3,Region,Year,efficfactor_scoe_heat_energy_residential_hydrogen
0,LA,louisiana,2024,0.9
1,LA,louisiana,2025,0.9
2,LA,louisiana,2026,0.9
3,LA,louisiana,2027,0.9
4,LA,louisiana,2028,0.9
5,LA,louisiana,2029,0.9
6,LA,louisiana,2030,0.9
7,LA,louisiana,2031,0.9
8,LA,louisiana,2032,0.9
9,LA,louisiana,2033,0.9
10,LA,louisiana,2034,0.9
11,LA,louisiana,2035,0.9
12,LA,louisiana,2036,0.9
13,LA,louisiana,2037,0.9
14,LA,louisiana,2038,0.9
15,LA,louisiana,2039,0.9
16,LA,louisiana,2040,0.9
17,LA,louisiana,2041,0.9
18,LA,louisiana,2042,0.9
19,LA,louisiana,2043,0.9
20,LA,louisiana,2044,0.9
21,LA,louisiana,2045,0.9
22,LA,louisiana,2046,0.9
23,LA,louisiana,2047,0.9
24,LA,louisiana,2048,0.9
25,LA,louisiana,2049,0.9
26,LA,louisiana,2050,0.9
