"Year","Region","iso_code3","cost_enfu_fuel_hydrocarbon_gas_liquids_usd_per_mmbtu"
2015,"louisiana","LA",187.580056853783
2016,"louisiana","LA",187.580056853783
2017,"louisiana","LA",187.580056853783
2018,"louisiana","LA",187.580056853783
2019,"louisiana","LA",187.580056853783
2020,"louisiana","LA",187.580056853783
2021,"louisiana","LA",187.580056853783
2022,"louisiana","LA",187.580056853783
2023,"louisiana","LA",187.580056853783
