iso_code3,Region,Year,nemomod_entc_residual_capacity_pp_gas_gw,nemomod_entc_residual_capacity_pp_oil_gw,nemomod_entc_residual_capacity_pp_solar_gw,nemomod_entc_residual_capacity_pp_ocean_gw,nemomod_entc_residual_capacity_pp_waste_incineration_gw,nemomod_entc_residual_capacity_pp_hydropower_gw,nemomod_entc_residual_capacity_pp_nuclear_gw,nemomod_entc_residual_capacity_pp_coal_gw,nemomod_entc_residual_capacity_pp_wind_gw,nemomod_entc_residual_capacity_pp_geothermal_gw,nemomod_entc_residual_capacity_pp_biomass_gw
LA,louisiana,2015,10.435,0.014,0.0,0.0,0.0,0.192,1.0359,5.7645,0.0,0.0,0.335
LA,louisiana,2016,10.4734,0.014,0.0016,0.0,0.0,0.192,0.0,5.7645,0.0,0.0,0.2508
LA,louisiana,2017,10.4734,0.014,0.0016,0.0,0.0,0.192,0.0,5.7645,0.0,0.0,0.2508
LA,louisiana,2018,10.3893,0.014,0.0016,0.0,0.0,0.192,0.0,5.7645,0.0,0.0,0.2508
LA,louisiana,2019,11.3893,0.014,0.0016,0.0,0.0,0.192,0.0,5.7645,0.0,0.0,0.2508
LA,louisiana,2020,11.3633,0.014,0.0016,0.0,0.0,0.192,0.0,5.7645,0.0,0.0,0.0788
LA,louisiana,2021,11.3633,0.014,0.0016,0.0,0.0,0.192,0.0,5.7645,0.0,0.0,0.0788
LA,louisiana,2022,10.7337,0.014,0.0016,0.0,0.0,0.192,0.0,5.7645,0.0,0.0,0.0788
LA,louisiana,2023,10.7337,0.014,0.0016,0.0,0.0,0.192,0.0,4.3309,0.0,0.0,0.0788
LA,louisiana,2024,10.7102,0.014,0.0016,0.0,0.0,0.192,0.0,4.3309,0.0,0.0,0.0788
LA,louisiana,2025,10.059,0.014,0.0016,0.0,0.0,0.192,0.0,4.3309,0.0,0.0,0.0788
LA,louisiana,2026,9.2349,0.014,0.0016,0.0,0.0,0.192,0.0,4.3309,0.0,0.0,0.0788
LA,louisiana,2027,5.5516,0.014,0.0016,0.0,0.0,0.192,0.0,4.3309,0.0,0.0,0.0788
LA,louisiana,2028,3.0700000000000003,0.014,0.0016,0.0,0.0,0.192,0.0,4.3309,0.0,0.0,0.0788
LA,louisiana,2029,2.0755,0.014,0.0016,0.0,0.0,0.192,0.0,4.3309,0.0,0.0,0.0788
LA,louisiana,2030,1.9551,0.014,0.0016,0.0,0.0,0.192,0.0,4.3309,0.0,0.0,0.0788
LA,louisiana,2031,1.8543000000000005,0.014,0.0016,0.0,0.0,0.192,0.0,2.428,0.0,0.0,0.0788
LA,louisiana,2032,1.7943000000000002,0.014,0.0016,0.0,0.0,0.192,0.0,2.428,0.0,0.0,0.0788
LA,louisiana,2033,1.7943000000000002,0.014,0.0016,0.0,0.0,0.192,0.0,2.428,0.0,0.0,0.0788
LA,louisiana,2034,1.7943000000000002,0.014,0.0016,0.0,0.0,0.192,0.0,2.428,0.0,0.0,0.0
LA,louisiana,2035,1.1703,0.014,0.0016,0.0,0.0,0.192,0.0,2.428,0.0,0.0,0.0
LA,louisiana,2036,1.1392,0.014,0.0016,0.0,0.0,0.192,0.0,1.7073,0.0,0.0,0.0
LA,louisiana,2037,1.1392,0.014,0.0016,0.0,0.0,0.192,0.0,1.7073,0.0,0.0,0.0
LA,louisiana,2038,1.1392,0.014,0.0016,0.0,0.0,0.192,0.0,1.7073,0.0,0.0,0.0
LA,louisiana,2039,1.1392,0.014,0.0016,0.0,0.0,0.192,0.0,1.7073,0.0,0.0,0.0
LA,louisiana,2040,1.1392,0.014,0.0016,0.0,0.0,0.192,0.0,1.7073,0.0,0.0,0.0
LA,louisiana,2041,1.0,0.014,0.0016,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.0
LA,louisiana,2042,1.0,0.014,0.0016,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.0
LA,louisiana,2043,1.0,0.014,0.0016,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.0
LA,louisiana,2044,0.0,0.014,0.0016,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.0
LA,louisiana,2045,0.0,0.014,0.0016,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.0
LA,louisiana,2046,0.0,0.014,0.0,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.0
LA,louisiana,2047,0.0,0.0,0.0,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.0
LA,louisiana,2048,0.0,0.0,0.0,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.0
LA,louisiana,2049,0.0,0.0,0.0,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.0
LA,louisiana,2050,0.0,0.0,0.0,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.0
