,Unnamed: 0,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_tonne_production_recycled_metals
0,0,LA,louisiana,2010,0.0065801802717023
1,1,LA,louisiana,2011,0.0072816868560025
2,2,LA,louisiana,2012,0.0068197658005192
3,3,LA,louisiana,2013,0.0062780071711879
4,4,LA,louisiana,2014,0.0060252601599846
5,5,LA,louisiana,2015,0.0058204002071882
6,6,LA,louisiana,2016,0.0053110480357993
7,7,LA,louisiana,2017,0.0046577804127331
8,8,LA,louisiana,2018,0.0047178525870779
9,9,LA,louisiana,2019,0.0049193774603895
10,10,LA,louisiana,2020,0.0042220254504693
