,Nation,iso_code3,Year,consumpinit_inen_energy_tj_per_mmm_gdp_other_product_manufacturing,consumpinit_inen_energy_tj_per_tonne_production_cement,consumpinit_inen_energy_tj_per_tonne_production_chemicals,consumpinit_inen_energy_tj_per_tonne_production_electronics,consumpinit_inen_energy_tj_per_tonne_production_glass,consumpinit_inen_energy_tj_per_tonne_production_lime_and_carbonite,consumpinit_inen_energy_tj_per_tonne_production_metals,consumpinit_inen_energy_tj_per_tonne_production_mining,consumpinit_inen_energy_tj_per_tonne_production_paper,consumpinit_inen_energy_tj_per_tonne_production_plastic,consumpinit_inen_energy_tj_per_tonne_production_recycled_glass,consumpinit_inen_energy_tj_per_tonne_production_recycled_metals,consumpinit_inen_energy_tj_per_tonne_production_recycled_paper,consumpinit_inen_energy_tj_per_tonne_production_recycled_plastic,consumpinit_inen_energy_tj_per_tonne_production_recycled_rubber_and_leather,consumpinit_inen_energy_tj_per_tonne_production_recycled_textiles,consumpinit_inen_energy_tj_per_tonne_production_recycled_wood,consumpinit_inen_energy_tj_per_tonne_production_rubber_and_leather,consumpinit_inen_energy_tj_per_tonne_production_textiles,consumpinit_inen_energy_tj_per_tonne_production_wood,consumpinit_inen_energy_total_pj_agriculture_and_livestock
0,United States,USA,2011,199.00570677383917,0.0012903027093107,0.0285142226427084,0.0054908675327415,0.0162202984114899,0.0047445789995174,0.0072816868560025,0.0035559162987881,0.0300400650402004,0.0028201250795174,0.0162202984114899,0.0072816868560025,0.0300400650402004,0.0028201250795174,0.085254162217088,0.0042147623834685,0.0046095683528319,0.085254162217088,0.0042147623834685,0.0046095683528319,867.34
1,United States,USA,2012,201.93056956016932,0.0011944766099871,0.0268695418400776,0.0054983735898362,0.0172753181716029,0.0049605572470726,0.0068197658005192,0.0035200334046276,0.0270350610203539,0.0027883232758428,0.0172753181716029,0.0068197658005192,0.0270350610203539,0.0027883232758428,0.0780640011182018,0.0037066407913943,0.0037282443484607,0.0780640011182018,0.0037066407913943,0.0037282443484607,830.7
2,United States,USA,2013,200.80174958642016,0.0012127566027583,0.0256201469348252,0.0052797593199001,0.0172105346509753,0.0043276981770132,0.0062780071711879,0.0037884712843516,0.0269459012852062,0.0027381433734308,0.0172105346509753,0.0062780071711879,0.0269459012852062,0.0027381433734308,0.0755790118642735,0.0036014193373288,0.0039920874888144,0.0755790118642735,0.0036014193373288,0.0039920874888144,884.94
3,United States,USA,2014,197.02028185713223,0.0011131569013654,0.026648107961467,0.0039489398881065,0.0167204939588933,0.0049280967876054,0.0060252601599846,0.0033417413902856,0.0251233140544552,0.0024565920312895,0.0167204939588933,0.0060252601599846,0.0251233140544552,0.0024565920312895,0.0683107741204145,0.003581114439302,0.0043762693763204,0.0683107741204145,0.003581114439302,0.0043762693763204,866.48
4,United States,USA,2015,186.37116123690203,0.0008139806108678,0.0270168624643588,0.0033918325274876,0.0134088193286214,0.0050280461694182,0.0058204002071882,0.0028060198447024,0.0214381223069047,0.002164984441491,0.0134088193286214,0.0058204002071882,0.0214381223069047,0.002164984441491,0.0614363586015059,0.0032967545263274,0.003748286055112,0.0614363586015059,0.0032967545263274,0.003748286055112,868.26
5,United States,USA,2016,189.3686943429396,0.0007175853651261,0.0284722054429697,0.0031803564985687,0.0127488044765991,0.0054071268420173,0.0053110480357993,0.0032959720471008,0.0195724205981728,0.0018285462519846,0.0127488044765991,0.0053110480357993,0.0195724205981728,0.0018285462519846,0.057522266045676,0.0032164063754579,0.0046570945848828,0.057522266045676,0.0032164063754579,0.0046570945848828,856.24
6,United States,USA,2017,187.11168090717655,0.0006310290794732,0.0300831027553355,0.0032034085643956,0.0114529853023101,0.0043776778552062,0.0046577804127331,0.0033505866921832,0.0199205429431882,0.0018485578571721,0.0114529853023101,0.0046577804127331,0.0199205429431882,0.0018485578571721,0.0582814885778946,0.0028563555518955,0.0054481195698275,0.0582814885778946,0.0028563555518955,0.0054481195698275,868.54
7,United States,USA,2018,192.17439397298747,0.0007295589880267,0.030025896763624,0.0032341205801945,0.0137309966466621,0.005550389049856,0.0047178525870779,0.0030857216266845,0.0198200911202835,0.0016545059304701,0.0137309966466621,0.0047178525870779,0.0198200911202835,0.0016545059304701,0.0538963854443116,0.0027898982625713,0.0058060009488259,0.0538963854443116,0.0027898982625713,0.0058060009488259,885.65
8,United States,USA,2019,188.55080915365707,0.0007569001596068,0.0281114928940697,0.0032481937564748,0.0143659960443459,0.0053184068200255,0.0049193774603895,0.0032709293625026,0.0219678602540772,0.0016496981890563,0.0143659960443459,0.0049193774603895,0.0219678602540772,0.0016496981890563,0.0535193274249866,0.0028478383391569,0.0051024290462989,0.0535193274249866,0.0028478383391569,0.0051024290462989,902.07
9,United States,USA,2020,182.00187118636435,0.0007073178681575,0.0262903933295024,0.0029693166871811,0.0131568451250681,0.005395328568955,0.0042220254504693,0.003509814039572,0.0209553125505033,0.0015150105027163,0.0131568451250681,0.0042220254504693,0.0209553125505033,0.0015150105027163,0.0464101755336943,0.0022068493425817,0.0047917856036439,0.0464101755336943,0.0022068493425817,0.0047917856036439,843.54
