iso_code3,Region,Year,frac_trns_fuelmix_road_heavy_regional_diesel
LA,louisiana,2008,0.8961507059362367
LA,louisiana,2009,0.8961623798175692
LA,louisiana,2010,0.8961615373359997
LA,louisiana,2011,0.8961675118148263
LA,louisiana,2012,0.896164834213488
LA,louisiana,2013,0.8961646240588811
LA,louisiana,2014,0.8961571675302245
LA,louisiana,2015,0.8961661875793836
LA,louisiana,2016,0.8961609846634756
LA,louisiana,2017,0.8961613077632542
LA,louisiana,2018,0.8961585106550535
LA,louisiana,2019,0.8961696131181142
