iso_code3,Region,Year,frac_inen_energy_metals_furnace_gas
LA,louisiana,2000,0.004576148222557
LA,louisiana,2001,0.0041541425003175
LA,louisiana,2002,0.0050325553887955
LA,louisiana,2003,0.0049180147099363
LA,louisiana,2004,0.0029153038213843
LA,louisiana,2005,0.0035481928767251
LA,louisiana,2006,0.008200038603067
LA,louisiana,2007,0.0079893792454739
LA,louisiana,2008,0.0077234102101458
LA,louisiana,2009,0.0111964058299136
LA,louisiana,2010,0.0086417854096457
LA,louisiana,2011,0.0075342298884178
LA,louisiana,2012,0.007231233228051
LA,louisiana,2013,0.0066525864744943
LA,louisiana,2014,0.006401513755268
LA,louisiana,2015,0.0063245875336596
LA,louisiana,2016,0.0083048659117196
LA,louisiana,2017,0.0078905725000541
LA,louisiana,2018,0.0078341699703681
LA,louisiana,2019,0.0071159507454654
LA,louisiana,2020,0.0083092971470416
