Year,scalar_scoe_appliance_energy_demand_commercial_municipal,Iso_code3,Region
2015,1,LA,louisiana
2016,1,LA,louisiana
2017,1,LA,louisiana
2018,1,LA,louisiana
2019,1,LA,louisiana
2020,1,LA,louisiana
2021,1,LA,louisiana
