iso_code3,Region,Year,frac_inen_energy_lime_and_carbonite_electricity
LA,louisiana,2000,0.136028958864388
LA,louisiana,2001,0.1444565704597275
LA,louisiana,2002,0.14709215627796
LA,louisiana,2003,0.1505788833631591
LA,louisiana,2004,0.1476782878318082
LA,louisiana,2005,0.151807526687516
LA,louisiana,2006,0.15398699821526
LA,louisiana,2007,0.1486982925046389
LA,louisiana,2008,0.163474740899706
LA,louisiana,2009,0.1609028080104484
LA,louisiana,2010,0.1553548609416055
LA,louisiana,2011,0.1481529062464314
LA,louisiana,2012,0.153721053070529
LA,louisiana,2013,0.1498172302628916
LA,louisiana,2014,0.1531746773267842
LA,louisiana,2015,0.186711972238288
LA,louisiana,2016,0.1934051997463538
LA,louisiana,2017,0.1273391365910955
LA,louisiana,2018,0.1561027949335287
LA,louisiana,2019,0.1525640697406487
LA,louisiana,2020,0.2000812086081124
