Year,consumpinit_scoe_gj_per_hh_residential_elec_appliances,Iso_code3,Region
2022,14.22,LA,louisiana
2023,14.11,LA,louisiana
2024,14.01,LA,louisiana
2025,13.91,LA,louisiana
2026,13.8,LA,louisiana
2027,13.7,LA,louisiana
2028,13.6,LA,louisiana
2029,13.5,LA,louisiana
2030,13.39,LA,louisiana
2031,13.29,LA,louisiana
2032,13.19,LA,louisiana
2033,13.09,LA,louisiana
2034,12.98,LA,louisiana
2035,12.88,LA,louisiana
2036,12.78,LA,louisiana
2037,12.67,LA,louisiana
2038,12.57,LA,louisiana
2039,12.47,LA,louisiana
2040,12.37,LA,louisiana
2041,12.26,LA,louisiana
2042,12.16,LA,louisiana
2043,12.06,LA,louisiana
2044,11.96,LA,louisiana
2045,11.85,LA,louisiana
2046,11.75,LA,louisiana
2047,11.65,LA,louisiana
2048,11.55,LA,louisiana
2049,11.44,LA,louisiana
2050,11.34,LA,louisiana
