"iso_code3","frac_waso_initial_composition_mun_yard","Year"
"LA",0.133,2010
"LA",0.133,2011
"LA",0.133,2012
"LA",0.133,2013
"LA",0.133,2014
"LA",0.133,2015
"LA",0.133,2016
"LA",0.133,2017
"LA",0.133,2018
"LA",0.133,2019
"LA",0.133,2020
