iso_code3,Region,Year,frac_inen_energy_recycled_rubber_and_leather_hydrogen
LA,louisiana,2000,0.0127229619827419
LA,louisiana,2001,0.0131037667207701
LA,louisiana,2002,0.0146281717481397
LA,louisiana,2003,0.0142301342095368
LA,louisiana,2004,0.0132864432955079
LA,louisiana,2005,0.0119354946860227
LA,louisiana,2006,0.011788148534396
LA,louisiana,2007,0.0102715619442797
LA,louisiana,2008,0.0103375760929717
LA,louisiana,2009,0.0082851036238322
LA,louisiana,2010,0.0077746935567073
LA,louisiana,2011,0.0
LA,louisiana,2012,0.0
LA,louisiana,2013,0.0
LA,louisiana,2014,0.0
LA,louisiana,2015,0.0
LA,louisiana,2016,0.0
LA,louisiana,2017,0.0
LA,louisiana,2018,0.0
LA,louisiana,2019,0.0
LA,louisiana,2020,0.0
