iso_code3,Region,Year,frac_inen_energy_electronics_gasoline
LA,louisiana,2000,0.0070915521562955
LA,louisiana,2001,0.007777082028804
LA,louisiana,2002,0.004683713738432
LA,louisiana,2003,0.0043859129920094
LA,louisiana,2004,0.0040404775771694
LA,louisiana,2005,0.0043508732052884
LA,louisiana,2006,0.0038772512167223
LA,louisiana,2007,0.003833132207026
LA,louisiana,2008,0.0027197017213743
LA,louisiana,2009,0.0029231637052258
LA,louisiana,2010,0.0025567795457636
LA,louisiana,2011,0.0025343082114735
LA,louisiana,2012,0.0031149199924103
LA,louisiana,2013,0.003203858954375
LA,louisiana,2014,0.0059865137872442
LA,louisiana,2015,0.0065386256935552
LA,louisiana,2016,0.0070369459553292
LA,louisiana,2017,0.0084962469784996
LA,louisiana,2018,0.0061150327889394
LA,louisiana,2019,0.0060618729096989
LA,louisiana,2020,0.0050009549013723
