Year,iso_code3,pij_lndu_forests_mangroves_to_forests_secondary
2015,LA,0.00025281755522684276
2016,LA,0.0004572808260670667
2017,LA,0.00039362772125621227
2018,LA,0.00043942158597602384
2019,LA,0.0003861698118857424
