Year,prodinit_ippu_wood_tonne,Iso_code3,Region
2021,18333230,LA,louisiana
2022,18333230,LA,louisiana
2023,18333230,LA,louisiana
2024,18333230,LA,louisiana
2025,18333230,LA,louisiana
2026,18333230,LA,louisiana
2027,18333230,LA,louisiana
2028,18333230,LA,louisiana
2029,18333230,LA,louisiana
2030,18333230,LA,louisiana
2031,18333230,LA,louisiana
2032,18333230,LA,louisiana
2033,18333230,LA,louisiana
2034,18333230,LA,louisiana
2035,18333230,LA,louisiana
2036,18333230,LA,louisiana
2037,18333230,LA,louisiana
2038,18333230,LA,louisiana
2039,18333230,LA,louisiana
2040,18333230,LA,louisiana
2041,18333230,LA,louisiana
2042,18333230,LA,louisiana
2043,18333230,LA,louisiana
2044,18333230,LA,louisiana
2045,18333230,LA,louisiana
2046,18333230,LA,louisiana
2047,18333230,LA,louisiana
2048,18333230,LA,louisiana
2049,18333230,LA,louisiana
2050,18333230,LA,louisiana
