iso_code3,Region,Year,frac_inen_energy_recycled_wood_natural_gas
LA,louisiana,2021,0.1626946576556391
LA,louisiana,2022,0.1564736435702836
LA,louisiana,2023,0.150386786402933
LA,louisiana,2024,0.1473276578107627
LA,louisiana,2025,0.1467577721427726
LA,louisiana,2026,0.1476344042902253
LA,louisiana,2027,0.1490637538266788
LA,louisiana,2028,0.1505033383082825
LA,louisiana,2029,0.1517397357679453
LA,louisiana,2030,0.1527617287400278
LA,louisiana,2031,0.1536378488954996
LA,louisiana,2032,0.1544546204056306
LA,louisiana,2033,0.1552585677672204
LA,louisiana,2034,0.1560654921732348
LA,louisiana,2035,0.156872492974461
LA,louisiana,2036,0.1576703874021119
LA,louisiana,2037,0.1584513123853897
LA,louisiana,2038,0.1592113079368219
LA,louisiana,2039,0.1599498143965715
LA,louisiana,2040,0.1606681100336328
LA,louisiana,2041,0.1613679394061355
LA,louisiana,2042,0.162050765584808
LA,louisiana,2043,0.1627175735519242
LA,louisiana,2044,0.1633689753419722
LA,louisiana,2045,0.1640053951659293
LA,louisiana,2046,0.1646272125725911
LA,louisiana,2047,0.1652348310192547
LA,louisiana,2048,0.1658286885856723
LA,louisiana,2049,0.1664092409281135
LA,louisiana,2050,0.1669769399344596
