"Year","Region","iso_code3","frac_lvst_mm_goats_solid_storage"
2015,"louisiana","LA",0.5
2016,"louisiana","LA",0.5
2017,"louisiana","LA",0.5
2018,"louisiana","LA",0.5
2019,"louisiana","LA",0.5
2020,"louisiana","LA",0.5
