,iso_code3,Region,Year,frac_trns_pkm_dem_regional_water_borne
0,LA,louisiana,2022,6.080624249148174e-05
1,LA,louisiana,2023,6.080624249148174e-05
2,LA,louisiana,2024,6.080624249148174e-05
3,LA,louisiana,2025,6.080624249148174e-05
4,LA,louisiana,2026,6.080624249148174e-05
5,LA,louisiana,2027,6.080624249148174e-05
6,LA,louisiana,2028,6.080624249148174e-05
7,LA,louisiana,2029,6.080624249148174e-05
8,LA,louisiana,2030,6.080624249148174e-05
9,LA,louisiana,2031,6.080624249148174e-05
10,LA,louisiana,2032,6.080624249148174e-05
11,LA,louisiana,2033,6.080624249148174e-05
12,LA,louisiana,2034,6.080624249148174e-05
13,LA,louisiana,2035,6.080624249148174e-05
14,LA,louisiana,2036,6.080624249148174e-05
15,LA,louisiana,2037,6.080624249148174e-05
16,LA,louisiana,2038,6.080624249148174e-05
17,LA,louisiana,2039,6.080624249148174e-05
18,LA,louisiana,2040,6.080624249148174e-05
19,LA,louisiana,2041,6.080624249148174e-05
20,LA,louisiana,2042,6.080624249148174e-05
21,LA,louisiana,2043,6.080624249148174e-05
22,LA,louisiana,2044,6.080624249148174e-05
23,LA,louisiana,2045,6.080624249148174e-05
24,LA,louisiana,2046,6.080624249148174e-05
25,LA,louisiana,2047,6.080624249148174e-05
26,LA,louisiana,2048,6.080624249148174e-05
27,LA,louisiana,2049,6.080624249148174e-05
28,LA,louisiana,2050,6.080624249148174e-05
