,iso_code3,Region,Year,frac_trns_pkm_dem_regional_road_light
0,LA,louisiana,2022,0.7875182770858201
1,LA,louisiana,2023,0.7875182770858201
2,LA,louisiana,2024,0.7875182770858201
3,LA,louisiana,2025,0.7875182770858201
4,LA,louisiana,2026,0.7875182770858201
5,LA,louisiana,2027,0.7875182770858201
6,LA,louisiana,2028,0.7875182770858201
7,LA,louisiana,2029,0.7875182770858201
8,LA,louisiana,2030,0.7875182770858201
9,LA,louisiana,2031,0.7875182770858201
10,LA,louisiana,2032,0.7875182770858201
11,LA,louisiana,2033,0.7875182770858201
12,LA,louisiana,2034,0.7875182770858201
13,LA,louisiana,2035,0.7875182770858201
14,LA,louisiana,2036,0.7875182770858201
15,LA,louisiana,2037,0.7875182770858201
16,LA,louisiana,2038,0.7875182770858201
17,LA,louisiana,2039,0.7875182770858201
18,LA,louisiana,2040,0.7875182770858201
19,LA,louisiana,2041,0.7875182770858201
20,LA,louisiana,2042,0.7875182770858201
21,LA,louisiana,2043,0.7875182770858201
22,LA,louisiana,2044,0.7875182770858201
23,LA,louisiana,2045,0.7875182770858201
24,LA,louisiana,2046,0.7875182770858201
25,LA,louisiana,2047,0.7875182770858201
26,LA,louisiana,2048,0.7875182770858201
27,LA,louisiana,2049,0.7875182770858201
28,LA,louisiana,2050,0.7875182770858201
