Year,prodinit_ippu_glass_tonne,Iso_code3,Region
2021,81425.29533609995,LA,louisiana
2022,81425.29533609995,LA,louisiana
2023,81425.29533609995,LA,louisiana
2024,81425.29533609995,LA,louisiana
2025,81425.29533609995,LA,louisiana
2026,81425.29533609995,LA,louisiana
2027,81425.29533609995,LA,louisiana
2028,81425.29533609995,LA,louisiana
2029,81425.29533609995,LA,louisiana
2030,81425.29533609995,LA,louisiana
2031,81425.29533609995,LA,louisiana
2032,81425.29533609995,LA,louisiana
2033,81425.29533609995,LA,louisiana
2034,81425.29533609995,LA,louisiana
2035,81425.29533609995,LA,louisiana
2036,81425.29533609995,LA,louisiana
2037,81425.29533609995,LA,louisiana
2038,81425.29533609995,LA,louisiana
2039,81425.29533609995,LA,louisiana
2040,81425.29533609995,LA,louisiana
2041,81425.29533609995,LA,louisiana
2042,81425.29533609995,LA,louisiana
2043,81425.29533609995,LA,louisiana
2044,81425.29533609995,LA,louisiana
2045,81425.29533609995,LA,louisiana
2046,81425.29533609995,LA,louisiana
2047,81425.29533609995,LA,louisiana
2048,81425.29533609995,LA,louisiana
2049,81425.29533609995,LA,louisiana
2050,81425.29533609995,LA,louisiana
