Year,iso_code3,frac_lndu_initial_forests_mangroves
2020,LA,0.2045525584149946
2021,LA,0.2045525584149946
2022,LA,0.2045525584149946
2023,LA,0.2045525584149946
2024,LA,0.2045525584149946
2025,LA,0.2045525584149946
2026,LA,0.2045525584149946
2027,LA,0.2045525584149946
2028,LA,0.2045525584149946
2029,LA,0.2045525584149946
2030,LA,0.2045525584149946
2031,LA,0.2045525584149946
2032,LA,0.2045525584149946
2033,LA,0.2045525584149946
2034,LA,0.2045525584149946
2035,LA,0.2045525584149946
2036,LA,0.2045525584149946
2037,LA,0.2045525584149946
2038,LA,0.2045525584149946
2039,LA,0.2045525584149946
2040,LA,0.2045525584149946
2041,LA,0.2045525584149946
2042,LA,0.2045525584149946
2043,LA,0.2045525584149946
2044,LA,0.2045525584149946
2045,LA,0.2045525584149946
2046,LA,0.2045525584149946
2047,LA,0.2045525584149946
2048,LA,0.2045525584149946
2049,LA,0.2045525584149946
2050,LA,0.2045525584149946
