"Year","Region","iso_code3","yf_agrc_bevs_and_spices_tonne_ha"
2011,"louisiana","LA",1.3518
2012,"louisiana","LA",1.2859
2013,"louisiana","LA",0.9569
2014,"louisiana","LA",0.9068
2015,"louisiana","LA",0.8566
2016,"louisiana","LA",0.6926
2017,"louisiana","LA",0.756
2018,"louisiana","LA",0.8676
2019,"louisiana","LA",0.8315
