iso_code3,Region,Year,frac_inen_energy_mining_natural_gas
LA,louisiana,2021,0.7991554250349496
LA,louisiana,2022,0.8029853839526759
LA,louisiana,2023,0.8071767713183059
LA,louisiana,2024,0.8116969005254328
LA,louisiana,2025,0.8164925790529193
LA,louisiana,2026,0.8215233456964349
LA,louisiana,2027,0.8266463196517331
LA,louisiana,2028,0.8317728275896477
LA,louisiana,2029,0.8369337932405667
LA,louisiana,2030,0.8420836043805981
LA,louisiana,2031,0.8471873122432247
LA,louisiana,2032,0.8522198667674525
LA,louisiana,2033,0.8571646310763436
LA,louisiana,2034,0.8585154400346631
LA,louisiana,2035,0.8582938378283949
LA,louisiana,2036,0.8580809262912077
LA,louisiana,2037,0.8578750053924681
LA,louisiana,2038,0.8576749519506066
LA,louisiana,2039,0.8574800606482882
LA,louisiana,2040,0.857289913722675
LA,louisiana,2041,0.8571042795195194
LA,louisiana,2042,0.856923037262962
LA,louisiana,2043,0.8567461240343471
LA,louisiana,2044,0.8565734995505948
LA,louisiana,2045,0.8564051245148627
LA,louisiana,2046,0.8562409488152606
LA,louisiana,2047,0.8560809064891867
LA,louisiana,2048,0.8559249150329087
LA,louisiana,2049,0.8557728772475738
LA,louisiana,2050,0.8556246843375618
