iso_code3,Region,Year,frac_inen_energy_recycled_metals_natural_gas
LA,louisiana,2021,0.3970830281391302
LA,louisiana,2022,0.401741008913038
LA,louisiana,2023,0.4099663543678176
LA,louisiana,2024,0.4163121965634536
LA,louisiana,2025,0.4220924701119363
LA,louisiana,2026,0.4279654399182002
LA,louisiana,2027,0.4339646343829231
LA,louisiana,2028,0.4399028134456236
LA,louisiana,2029,0.4459504052974421
LA,louisiana,2030,0.4521226796385106
LA,louisiana,2031,0.4583700329152317
LA,louisiana,2032,0.4646970144530852
LA,louisiana,2033,0.4711190611304969
LA,louisiana,2034,0.4776359932031639
LA,louisiana,2035,0.4842470000443964
LA,louisiana,2036,0.4909555517216031
LA,louisiana,2037,0.4977647569054372
LA,louisiana,2038,0.5046767246746783
LA,louisiana,2039,0.5116938896400197
LA,louisiana,2040,0.5188189995390453
LA,louisiana,2041,0.526054768065646
LA,louisiana,2042,0.5334039278515845
LA,louisiana,2043,0.5408693177119638
LA,louisiana,2044,0.5484538608898001
LA,louisiana,2045,0.5561605502748925
LA,louisiana,2046,0.5639924620930776
LA,louisiana,2047,0.5719527643853062
LA,louisiana,2048,0.5800447191167863
LA,louisiana,2049,0.5882716868465433
LA,louisiana,2050,0.5966371329912729
