Year,prodinit_ippu_electronics_tonne,Iso_code3,Region
2021,74062.49422616219,LA,louisiana
2022,74062.49422616219,LA,louisiana
2023,74062.49422616219,LA,louisiana
2024,74062.49422616219,LA,louisiana
2025,74062.49422616219,LA,louisiana
2026,74062.49422616219,LA,louisiana
2027,74062.49422616219,LA,louisiana
2028,74062.49422616219,LA,louisiana
2029,74062.49422616219,LA,louisiana
2030,74062.49422616219,LA,louisiana
2031,74062.49422616219,LA,louisiana
2032,74062.49422616219,LA,louisiana
2033,74062.49422616219,LA,louisiana
2034,74062.49422616219,LA,louisiana
2035,74062.49422616219,LA,louisiana
2036,74062.49422616219,LA,louisiana
2037,74062.49422616219,LA,louisiana
2038,74062.49422616219,LA,louisiana
2039,74062.49422616219,LA,louisiana
2040,74062.49422616219,LA,louisiana
2041,74062.49422616219,LA,louisiana
2042,74062.49422616219,LA,louisiana
2043,74062.49422616219,LA,louisiana
2044,74062.49422616219,LA,louisiana
2045,74062.49422616219,LA,louisiana
2046,74062.49422616219,LA,louisiana
2047,74062.49422616219,LA,louisiana
2048,74062.49422616219,LA,louisiana
2049,74062.49422616219,LA,louisiana
2050,74062.49422616219,LA,louisiana
