,year,iso_alpha_3,consumpinit_inen_energy_tj_per_tonne_production_mining
0,2011,USA,0.00033070021578729327
1,2012,USA,0.0003273631066303668
2,2013,USA,0.0003523278294446988
3,2014,USA,0.0003107819492965608
4,2015,USA,0.00026095984555732317
5,2016,USA,0.0003065254003803744
6,2017,USA,0.0003116045623730376
7,2018,USA,0.0002869721112816585
8,2019,USA,0.0003041964307127418
9,2020,USA,0.000326412705680196
