Year,frac_scoe_heat_energy_commercial_municipal_natural_gas,Iso_code3,Region
2022,0.28,LA,louisiana
2023,0.29,LA,louisiana
2024,0.29,LA,louisiana
2025,0.3,LA,louisiana
2026,0.3,LA,louisiana
2027,0.31,LA,louisiana
2028,0.32,LA,louisiana
2029,0.32,LA,louisiana
2030,0.33,LA,louisiana
2031,0.33,LA,louisiana
2032,0.34,LA,louisiana
2033,0.34,LA,louisiana
2034,0.35,LA,louisiana
2035,0.36,LA,louisiana
2036,0.36,LA,louisiana
2037,0.37,LA,louisiana
2038,0.37,LA,louisiana
2039,0.38,LA,louisiana
2040,0.38,LA,louisiana
2041,0.39,LA,louisiana
2042,0.4,LA,louisiana
2043,0.4,LA,louisiana
2044,0.41,LA,louisiana
2045,0.41,LA,louisiana
2046,0.42,LA,louisiana
2047,0.42,LA,louisiana
2048,0.43,LA,louisiana
2049,0.44,LA,louisiana
2050,0.44,LA,louisiana
