Year,frac_trns_fuelmix_public_natural_gas
2008,0.10215322984476714
2009,0.11
2010,0.10299527062532844
2011,0.1038560411311054
2012,0.0970970970970971
2013,0.10235063663075418
2014,0.10814742967992241
2015,0.1114948199309324
2016,0.11573849878934624
2017,0.11438946890603723
2018,0.11371681415929205
2019,0.12019660411081322
