,regio,time_period,ab_frac_trns_mtkm_dem_freight_road_heavy_freight
0,argentina,0,0.8333563688314362
1,argentina,1,0.8309658465879409
2,argentina,2,0.828902920616555
3,argentina,3,0.6293974763656864
4,argentina,4,0.6261466336131423
5,argentina,5,0.6228608190792032
6,argentina,6,0.6228608190792032
7,argentina,7,0.6228608190792032
8,argentina,8,0.6228608190792032
9,argentina,9,0.6228608190792032
10,argentina,10,0.6228608190792032
11,argentina,11,0.6228608190792032
12,argentina,12,0.6228608190792032
13,argentina,13,0.6228608190792032
14,argentina,14,0.6228608190792032
15,argentina,15,0.6228608190792032
16,argentina,16,0.6228608190792032
17,argentina,17,0.6228608190792032
18,argentina,18,0.6228608190792032
19,argentina,19,0.6228608190792032
20,argentina,20,0.6228608190792032
21,argentina,21,0.6228608190792032
22,argentina,22,0.6228608190792032
23,argentina,23,0.6228608190792032
24,argentina,24,0.6228608190792032
25,argentina,25,0.6228608190792032
26,argentina,26,0.6228608190792032
27,argentina,27,0.6228608190792032
28,argentina,28,0.6228608190792032
29,argentina,29,0.6228608190792032
30,argentina,30,0.6228608190792032
31,argentina,31,0.6228608190792032
32,argentina,32,0.6228608190792032
33,argentina,33,0.6228608190792032
34,argentina,34,0.6228608190792032
35,argentina,35,0.6228608190792032
36,bolivia,0,0.7265262670267955
37,bolivia,1,0.7265350370517957
38,bolivia,2,0.7265307714475905
39,bolivia,3,0.7264916749093397
40,bolivia,4,0.72640646572131
41,bolivia,5,0.7264531462233251
42,bolivia,6,0.7264531462233251
43,bolivia,7,0.7264531462233251
44,bolivia,8,0.7264531462233251
45,bolivia,9,0.7264531462233251
46,bolivia,10,0.7264531462233251
47,bolivia,11,0.7264531462233251
48,bolivia,12,0.7264531462233251
49,bolivia,13,0.7264531462233251
50,bolivia,14,0.7264531462233251
51,bolivia,15,0.7264531462233251
52,bolivia,16,0.7264531462233251
53,bolivia,17,0.7264531462233251
54,bolivia,18,0.7264531462233251
55,bolivia,19,0.7264531462233251
56,bolivia,20,0.7264531462233251
57,bolivia,21,0.7264531462233251
58,bolivia,22,0.7264531462233251
59,bolivia,23,0.7264531462233251
60,bolivia,24,0.7264531462233251
61,bolivia,25,0.7264531462233251
62,bolivia,26,0.7264531462233251
63,bolivia,27,0.7264531462233251
64,bolivia,28,0.7264531462233251
65,bolivia,29,0.7264531462233251
66,bolivia,30,0.7264531462233251
67,bolivia,31,0.7264531462233251
68,bolivia,32,0.7264531462233251
69,bolivia,33,0.7264531462233251
70,bolivia,34,0.7264531462233251
71,bolivia,35,0.7264531462233251
72,brazil,0,0.6147298580204144
73,brazil,1,0.6127589153212969
74,brazil,2,0.6107445670432723
75,brazil,3,0.6087436449274911
76,brazil,4,0.6068120412523205
77,brazil,5,0.6048993685423413
78,brazil,6,0.6048993685423413
79,brazil,7,0.6048993685423413
80,brazil,8,0.6048993685423413
81,brazil,9,0.6048993685423413
82,brazil,10,0.6048993685423413
83,brazil,11,0.6048993685423413
84,brazil,12,0.6048993685423413
