iso_code3,Region,Year,frac_inen_energy_chemicals_electricity
LA,louisiana,2021,0.1302307982686426
LA,louisiana,2022,0.1288843677309924
LA,louisiana,2023,0.1261774624330978
LA,louisiana,2024,0.1231480940261484
LA,louisiana,2025,0.1202781802086019
LA,louisiana,2026,0.117577929455626
LA,louisiana,2027,0.1150107152494797
LA,louisiana,2028,0.1125704337046877
LA,louisiana,2029,0.1102529142913707
LA,louisiana,2030,0.1080509913261213
LA,louisiana,2031,0.1059567766721138
LA,louisiana,2032,0.1039629670471599
LA,louisiana,2033,0.1020628848835582
LA,louisiana,2034,0.1002503362072783
LA,louisiana,2035,0.0985195670326903
LA,louisiana,2036,0.0968652551170103
LA,louisiana,2037,0.0952824916454184
LA,louisiana,2038,0.0937604964119557
LA,louisiana,2039,0.0922994279500644
LA,louisiana,2040,0.0908979503590711
LA,louisiana,2041,0.0895524757600166
LA,louisiana,2042,0.0882596954350649
LA,louisiana,2043,0.0870165551117408
LA,louisiana,2044,0.0858202322145088
LA,louisiana,2045,0.084668115082249
LA,louisiana,2046,0.0835577840777459
LA,louisiana,2047,0.0824869944788633
LA,louisiana,2048,0.0814536610227882
LA,louisiana,2049,0.0804558439666964
LA,louisiana,2050,0.079491736527445
