,Year,frac_trns_pkm_dem_private_and_public_public,iso_code3,Region
0,2011,0.05798009223594226,LA,louisiana
1,2012,0.061282483605094626,LA,louisiana
2,2013,0.06242996804795653,LA,louisiana
3,2014,0.06543069424692105,LA,louisiana
4,2015,0.0644267390833469,LA,louisiana
5,2016,0.06351760944429713,LA,louisiana
6,2017,0.06645999976519147,LA,louisiana
7,2018,0.06960547620095899,LA,louisiana
8,2019,0.06765970015791142,LA,louisiana
9,2020,0.07223695640989788,LA,louisiana
10,2021,0.07173270286014348,LA,louisiana
